,Country,Population,variable,2000,2010,2016
2062,Ecuador,12629,HIV/AIDS,3.362123,7.341323,7.929204
2063,Egypt,69906,HIV/AIDS,0.1614586,0.2704349,0.3486732
2064,El Salvador,5868,HIV/AIDS,19.51532,10.60739,12.02755
2065,Equatorial Guinea,614,HIV/AIDS,128.7472,139.1229,103.2172
2066,Eritrea,3393,HIV/AIDS,39.75718,31.03643,15.27007
2067,Estonia,1399,HIV/AIDS,0.1861097,3.346198,3.750307
2068,Ethiopia,66537,HIV/AIDS,159.3828,61.21166,27.696
2069,Fiji,811,HIV/AIDS,0.2288173,0.3238448,0.2811456
2070,Finland,5188,HIV/AIDS,0.1664492,0.1049912,0.041853
2071,France,59608,HIV/AIDS,1.816497,0.7065816,0.5542545
2072,Gabon,1231,HIV/AIDS,227.5433,214.3501,90.45389
2073,Gambia,1232,HIV/AIDS,35.60308,102.1501,83.73138
2074,Georgia,4722,HIV/AIDS,2.052639,4.742678,7.272901
2075,Germany,81488,HIV/AIDS,0.650512,0.472065,0.3814622
2076,Ghana,18939,HIV/AIDS,200.4107,129.9304,66.51625
2077,Greece,11142,HIV/AIDS,0.2437483,0.1452522,0.3344127
2078,Grenada,102,HIV/AIDS,7.629332,8.430132,4.02618
2079,Guatemala,11651,HIV/AIDS,5.103282,6.391035,12.80376
2080,Guinea,8809,HIV/AIDS,86.95978,63.11653,65.06398
2081,Guinea-Bissau,1243,HIV/AIDS,63.35551,196.4444,153.7226
2082,Guyana,753,HIV/AIDS,38.16702,33.84721,35.19587
2083,Haiti,8549,HIV/AIDS,191.1922,75.28433,50.69112
2084,Honduras,6524,HIV/AIDS,47.24751,21.43699,12.89336
2085,Hungary,10221,HIV/AIDS,0.3215625,0.4471473,0.3792464
2086,Iceland,280,HIV/AIDS,0.4349373,0.1945596,.
2087,India,1053051,HIV/AIDS,8.247246,9.803417,4.771012
2088,Indonesia,211540,HIV/AIDS,0.683288,8.661351,13.8201
2089,Iran (Islamic Republic of),66132,HIV/AIDS,1.064877,4.743658,4.817369
2090,Iraq,23565,HIV/AIDS,.,.,.
2091,Ireland,3849,HIV/AIDS,0.1719479,0.2782778,0.190802
2092,Israel,6014,HIV/AIDS,0.4485109,0.3553935,0.4486985
2093,Italy,57294,HIV/AIDS,1.647579,1.147533,0.9601282
2094,Jamaica,2657,HIV/AIDS,60.80466,40.76046,33.36858
2095,Japan,127534,HIV/AIDS,0.0326248,0.0350979,0.0266112
2096,Jordan,5103,HIV/AIDS,0.2986751,0.0763439,0.0950861
2097,Kazakhstan,15057,HIV/AIDS,0.6795036,2.241213,2.778793
2098,Kenya,31450,HIV/AIDS,521.3975,201.7632,95.3025
2099,Kiribati,84,HIV/AIDS,.,.,.
2100,Kuwait,2051,HIV/AIDS,.,0.212807,0.094147
2101,Kyrgyzstan,4921,HIV/AIDS,0.1728755,1.722357,2.785806
2102,Lao People's Democratic Republic,5329,HIV/AIDS,0.679129,4.926115,5.60341
2103,Latvia,2384,HIV/AIDS,0.1450289,2.791431,4.821226
2104,Lebanon,3235,HIV/AIDS,1.684053,1.471084,1.330724
2105,Lesotho,1869,HIV/AIDS,617.165,543.0498,579.824
2106,Liberia,2885,HIV/AIDS,196.9971,127.9747,79.29887
2107,Libya,5356,HIV/AIDS,.,.,.
2108,Lithuania,3502,HIV/AIDS,0.1928244,0.6677787,1.144289
2109,Luxembourg,436,HIV/AIDS,0.4643455,0.2897633,0.599955
2110,Madagascar,15767,HIV/AIDS,3.979755,8.431064,7.90009
2111,Malawi,11376,HIV/AIDS,755.683,413.186,189.1439
2112,Malaysia,23186,HIV/AIDS,36.50991,32.66442,23.28378
2113,Maldives,280,HIV/AIDS,1.346051,1.061138,0.7077336
2114,Mali,10968,HIV/AIDS,75.7716,50.13185,51.34804
2115,Malta,397,HIV/AIDS,0.2465272,0.2105734,0.4807203
2116,Mauritania,2709,HIV/AIDS,19.06673,29.57511,24.03478
2117,Mauritius,1185,HIV/AIDS,.,5.529968,9.227751
2118,Mexico,101720,HIV/AIDS,4.874736,4.447371,3.739006
2119,Micronesia (Federated States of),107,HIV/AIDS,.,.,.
2120,Mongolia,2397,HIV/AIDS,0.0544531,0.2059084,0.3157547
2121,Montenegro,614,HIV/AIDS,0.2455557,0.8025909,1.217687
2122,Morocco,28850,HIV/AIDS,1.105221,2.072763,1.836301
2123,Mozambique,18068,HIV/AIDS,271.372,439.3706,300.0887
2124,Myanmar,46095,HIV/AIDS,17.15437,30.66046,14.38714
2125,Namibia,1899,HIV/AIDS,480.6436,265.9896,223.8735
2126,Nepal,23741,HIV/AIDS,4.723113,11.65736,7.266158
2127,Netherlands,15926,HIV/AIDS,0.777084,0.2481783,0.192892
2128,New Zealand,3859,HIV/AIDS,0.5324923,0.3119293,0.1740392
2129,Nicaragua,5027,HIV/AIDS,12.2664,10.64006,5.560001
2130,Niger,11353,HIV/AIDS,33.76238,34.22964,25.28553
2131,Nigeria,122352,HIV/AIDS,144.6626,170.3496,116.0613
2132,Norway,4499,HIV/AIDS,0.336985,0.1882329,0.1442044
2133,Oman,2268,HIV/AIDS,3.756204,2.890282,1.587408
2134,Pakistan,138523,HIV/AIDS,0.0101155,0.8889201,3.382237
2135,Panama,3030,HIV/AIDS,22.71776,18.60613,16.31447
2136,Papua New Guinea,5572,HIV/AIDS,15.31366,26.90015,15.63143
2137,Paraguay,5303,HIV/AIDS,6.265359,8.773233,12.76131
2138,Peru,25915,HIV/AIDS,25.76755,10.44711,7.168405
2139,Philippines,77992,HIV/AIDS,0.0503748,0.0686272,0.0797946
2140,Poland,38551,HIV/AIDS,0.3712472,0.3878708,0.3570055
2141,Portugal,10355,HIV/AIDS,12.52396,6.231011,4.050657
2142,Qatar,592,HIV/AIDS,0.251198,0.0898529,0.0740924
2143,Republic of Korea,47386,HIV/AIDS,0.0602279,0.216488,0.1699393
2144,Republic of Moldova,4201,HIV/AIDS,1.095993,3.794664,4.178248
2145,Romania,22128,HIV/AIDS,2.027906,0.6675933,1.143579
2146,Russian Federation,146397,HIV/AIDS,5.371763,12.53722,22.33794
2147,Rwanda,8026,HIV/AIDS,224.5508,69.60202,35.61488
2148,Saint Lucia,157,HIV/AIDS,11.81048,7.416094,3.515971
2149,Saint Vincent and the Grenadines,108,HIV/AIDS,35.4051,19.55154,14.81289
2150,Samoa,175,HIV/AIDS,.,.,.
2151,Sao Tome and Principe,139,HIV/AIDS,62.14951,48.88063,31.30272
2152,Saudi Arabia,20764,HIV/AIDS,0.2966606,0.5225748,0.6211066
2153,Senegal,9884,HIV/AIDS,17.12816,13.26083,16.08518
2154,Serbia,9488,HIV/AIDS,0.5828976,0.4486241,0.2569131
2155,Seychelles,81,HIV/AIDS,5.332245,3.817621,2.304564
2156,Sierra Leone,4564,HIV/AIDS,33.9105,53.23162,51.82538
2157,Singapore,3914,HIV/AIDS,.,.,0.8418719
2158,Slovakia,5399,HIV/AIDS,0.0380165,0.0328411,0.0332961
2159,Slovenia,1988,HIV/AIDS,0.1886176,.,0.1607585
2160,Solomon Islands,413,HIV/AIDS,.,.,.
2161,Somalia,9011,HIV/AIDS,16.2475,23.90685,18.06609
2162,South Africa,45728,HIV/AIDS,284.3098,426.1048,195.9396
2163,South Sudan,6701,HIV/AIDS,46.59364,174.3053,148.5738
2164,Spain,40904,HIV/AIDS,3.988013,1.869767,1.115014
2165,Sri Lanka,18782,HIV/AIDS,0.099336,0.2016516,0.5125593
2166,Sudan,27251,HIV/AIDS,2.468362,6.057631,9.580336
2167,Suriname,472,HIV/AIDS,29.56972,30.17696,26.34142
2168,Swaziland,1061,HIV/AIDS,818.6074,692.723,377.7878
2169,Sweden,8882,HIV/AIDS,0.2675392,0.0884476,0.1142638
2170,Switzerland,7167,HIV/AIDS,1.797534,0.4455045,0.345708
2171,Syrian Arab Republic,16411,HIV/AIDS,0.2019094,0.1783915,0.1741768
2172,Tajikistan,6216,HIV/AIDS,0.3357113,7.625786,8.194434
2173,Thailand,62958,HIV/AIDS,71.55327,29.66075,19.52926
2174,The former Yugoslav Republic of Macedonia,2035,HIV/AIDS,0.0881527,0.0670103,0.031595
2175,Timor-Leste,872,HIV/AIDS,0.0684929,0.7085021,0.5786113
2176,Togo,4970,HIV/AIDS,157.5833,151.3062,88.55787
2177,Tonga,98,HIV/AIDS,.,.,.
2178,Trinidad and Tobago,1268,HIV/AIDS,45.01203,17.6024,17.15363
2179,Tunisia,9699,HIV/AIDS,0.1227153,0.2449083,0.6845611
2180,Turkey,63240,HIV/AIDS,0.1545355,0.3914151,0.3315503
2181,Turkmenistan,4516,HIV/AIDS,2.186978,10.94623,16.58662
2182,Uganda,24039,HIV/AIDS,639.1661,258.7464,96.94946
2183,Ukraine,48840,HIV/AIDS,9.594582,33.6497,25.41555
2184,United Arab Emirates,3155,HIV/AIDS,1.28993,0.3570397,0.2992962
2185,United Kingdom,58951,HIV/AIDS,0.3349783,0.3789745,0.2543683
2186,United Republic of Tanzania,34178,HIV/AIDS,396.3026,214.3663,79.79837
2187,United States of America,281983,HIV/AIDS,4.867662,2.380062,1.597389
2188,Uruguay,3321,HIV/AIDS,4.809279,6.131918,5.515796
2189,Uzbekistan,24849,HIV/AIDS,0.1871535,1.40939,1.940047
2190,Vanuatu,185,HIV/AIDS,.,.,.
2191,Venezuela (Bolivarian Republic of),24488,HIV/AIDS,7.20254,7.299585,8.502748
2192,Viet Nam,80286,HIV/AIDS,4.539461,9.489975,7.860757
2193,Yemen,17875,HIV/AIDS,1.23677,1.511057,1.653247
2194,Zambia,10531,HIV/AIDS,841.157,292.6343,169.226
2195,Zimbabwe,12222,HIV/AIDS,1288.718,660.0398,279.1912
2196,Afghanistan,20094,Diarrhoeal diseases,43.62742,23.07858,15.30834
2197,Albania,3122,Diarrhoeal diseases,1.487064,0.5206332,0.3793247
2198,Algeria,31184,Diarrhoeal diseases,8.28845,4.495429,3.549681
2199,Angola,16441,Diarrhoeal diseases,269.2838,135.7272,91.29384
2200,Antigua and Barbuda,84,Diarrhoeal diseases,0.0138868,0.9885633,1.465209
2201,Argentina,37057,Diarrhoeal diseases,1.267084,0.9538637,0.8002186
2202,Armenia,3070,Diarrhoeal diseases,2.73473,0.7097177,0.4362725
2203,Australia,19066,Diarrhoeal diseases,0.1099269,0.1904516,0.5550747
2204,Austria,8069,Diarrhoeal diseases,0.0626774,0.2756817,0.5659293
2205,Azerbaijan,8123,Diarrhoeal diseases,17.06676,5.197492,3.303921
2206,Bahamas,298,Diarrhoeal diseases,1.372985,0.6210735,0.8863691
2207,Bahrain,665,Diarrhoeal diseases,2.602843,1.814904,1.485256
2208,Bangladesh,131581,Diarrhoeal diseases,79.40889,39.61659,25.95443
2209,Barbados,270,Diarrhoeal diseases,0.8937011,1.5781,1.297106
2210,Belarus,9934,Diarrhoeal diseases,0.7039567,0.1669483,0.11159
2211,Belgium,10282,Diarrhoeal diseases,0.4431707,1.372826,1.210412
2212,Belize,247,Diarrhoeal diseases,6.162315,4.290664,3.244197
2213,Benin,6866,Diarrhoeal diseases,156.0059,113.4659,97.26722
2214,Bhutan,573,Diarrhoeal diseases,65.9057,23.86129,16.25199
2215,Bolivia (Plurinational State of),8340,Diarrhoeal diseases,41.04157,14.31964,9.014758
2216,Bosnia and Herzegovina,3767,Diarrhoeal diseases,0.3329145,0.1596348,0.1322875
2217,Botswana,1728,Diarrhoeal diseases,57.61863,44.2125,32.4553
2218,Brazil,175288,Diarrhoeal diseases,8.17521,3.582058,2.710414
2219,Brunei Darussalam,333,Diarrhoeal diseases,1.112543,0.8249698,0.9677658
2220,Bulgaria,7998,Diarrhoeal diseases,0.9846838,0.275424,0.3735456
2221,Burkina Faso,11608,Diarrhoeal diseases,190.9187,136.6532,120.4282
2222,Burundi,6401,Diarrhoeal diseases,146.1503,151.0694,134.458
2223,Cambodia,12152,Diarrhoeal diseases,78.38115,27.33631,16.20198
2224,Cameroon,15274,Diarrhoeal diseases,171.4251,102.6866,77.93811
2225,Canada,30736,Diarrhoeal diseases,0.4913542,2.218022,1.927158
2226,Cape Verde,435,Diarrhoeal diseases,26.41168,12.73815,9.540937
2227,Central African Republic,3755,Diarrhoeal diseases,165.1377,169.4741,147.6972
2228,Chad,8343,Diarrhoeal diseases,221.6738,183.4025,157.5278
2229,Chile,15263,Diarrhoeal diseases,1.731144,1.15608,1.828622
2230,China,1290291,Diarrhoeal diseases,4.223587,1.230451,0.7875342
2231,Colombia,40404,Diarrhoeal diseases,5.382463,2.422362,1.813203
2232,Comoros,542,Diarrhoeal diseases,160.0566,146.3785,125.7212
2233,Congo,3226,Diarrhoeal diseases,143.7986,116.2489,86.6773
2234,Costa Rica,3925,Diarrhoeal diseases,3.483653,2.034975,2.278866
2235,Côte d'Ivoire,16687,Diarrhoeal diseases,85.45412,85.58433,79.36635
2236,Croatia,4428,Diarrhoeal diseases,0.2125167,0.2428448,0.5601522
2237,Cuba,11151,Diarrhoeal diseases,2.024764,1.657239,1.5906
2238,Cyprus,943,Diarrhoeal diseases,0.2321513,0.6360454,2.032513
2239,Czechia,10290,Diarrhoeal diseases,0.0331096,0.7045696,1.029176
2240,Democratic People's Republic of Korea,22929,Diarrhoeal diseases,13.81539,4.24193,2.715634
2241,Democratic Republic of the Congo,47076,Diarrhoeal diseases,136.6777,107.4367,91.53423
2242,Denmark,5341,Diarrhoeal diseases,0.5358498,1.780316,1.433722
2243,Djibouti,718,Diarrhoeal diseases,139.4726,78.18565,68.49092
2244,Dominican Republic,8563,Diarrhoeal diseases,11.10361,6.591476,5.039729
2245,Ecuador,12629,Diarrhoeal diseases,5.603723,2.000638,1.386824
2246,Egypt,69906,Diarrhoeal diseases,10.31319,5.979886,4.77033
2247,El Salvador,5868,Diarrhoeal diseases,14.31426,6.459179,4.975838
2248,Equatorial Guinea,614,Diarrhoeal diseases,91.41034,57.86373,46.41606
2249,Eritrea,3393,Diarrhoeal diseases,190.7332,126.3786,101.012
2250,Estonia,1399,Diarrhoeal diseases,0.4446298,0.1847981,0.0244626
2251,Ethiopia,66537,Diarrhoeal diseases,166.0312,109.752,86.53078
2252,Fiji,811,Diarrhoeal diseases,7.023022,11.47842,12.41896
2253,Finland,5188,Diarrhoeal diseases,0.352838,0.4713424,0.1824537
2254,France,59608,Diarrhoeal diseases,0.8833082,1.058836,1.109171
2255,Gabon,1231,Diarrhoeal diseases,66.6216,52.60117,41.65449
2256,Gambia,1232,Diarrhoeal diseases,111.9553,73.43096,63.75044
2257,Georgia,4722,Diarrhoeal diseases,2.538547,0.455401,0.3340437
2258,Germany,81488,Diarrhoeal diseases,0.1756655,1.320611,2.306668
2259,Ghana,18939,Diarrhoeal diseases,62.96086,41.46162,32.28455
2260,Greece,11142,Diarrhoeal diseases,.,.,0.1313187
2261,Grenada,102,Diarrhoeal diseases,2.743078,1.287437,0.6814435
2262,Guatemala,11651,Diarrhoeal diseases,43.38525,21.41093,14.96145
2263,Guinea,8809,Diarrhoeal diseases,179.184,112.9282,84.16315
2264,Guinea-Bissau,1243,Diarrhoeal diseases,142.4024,84.11932,64.73074
2265,Guyana,753,Diarrhoeal diseases,21.37054,12.05714,9.824912
2266,Haiti,8549,Diarrhoeal diseases,64.0864,52.14563,37.02468
2267,Honduras,6524,Diarrhoeal diseases,23.14503,12.66077,10.36657
2268,Hungary,10221,Diarrhoeal diseases,0.1182443,0.7219666,1.433185
2269,Iceland,280,Diarrhoeal diseases,0.2568684,0.3215552,0.5091301
2270,India,1053051,Diarrhoeal diseases,87.95359,54.48137,38.95717
2271,Indonesia,211540,Diarrhoeal diseases,66.84152,39.8561,34.144
2272,Iran (Islamic Republic of),66132,Diarrhoeal diseases,8.439957,3.445622,2.81661
2273,Iraq,23565,Diarrhoeal diseases,12.42574,8.007088,6.202675
2274,Ireland,3849,Diarrhoeal diseases,0.6346365,0.407266,0.5267721
2275,Israel,6014,Diarrhoeal diseases,1.339774,1.900782,1.85947
2276,Italy,57294,Diarrhoeal diseases,0.0347034,0.2142344,0.4530766
2277,Jamaica,2657,Diarrhoeal diseases,2.858133,1.272475,1.222468
2278,Japan,127534,Diarrhoeal diseases,0.4981084,0.6860811,0.5862463
2279,Jordan,5103,Diarrhoeal diseases,3.768366,2.062695,1.73238
2280,Kazakhstan,15057,Diarrhoeal diseases,8.744242,2.823483,1.154979
2281,Kenya,31450,Diarrhoeal diseases,265.8599,186.8866,154.3645
2282,Kiribati,84,Diarrhoeal diseases,75.37087,56.14213,48.89966
2283,Kuwait,2051,Diarrhoeal diseases,0.0931496,0.9465974,0.7924416
2284,Kyrgyzstan,4921,Diarrhoeal diseases,7.526871,2.580807,1.622549
2285,Lao People's Democratic Republic,5329,Diarrhoeal diseases,60.69713,31.8986,23.28748
2286,Latvia,2384,Diarrhoeal diseases,0.103234,0.204943,0.1578229
2287,Lebanon,3235,Diarrhoeal diseases,3.964104,2.309058,1.871589
2288,Lesotho,1869,Diarrhoeal diseases,145.6901,109.6698,89.1458
2289,Liberia,2885,Diarrhoeal diseases,190.5323,123.6021,99.29387
2290,Libya,5356,Diarrhoeal diseases,3.928112,2.193416,2.008621
2291,Lithuania,3502,Diarrhoeal diseases,0.1065106,0.1538649,0.4201841
2292,Luxembourg,436,Diarrhoeal diseases,0.6403625,0.5008459,0.2593962
2293,Madagascar,15767,Diarrhoeal diseases,109.4426,78.68021,67.54697
2294,Malawi,11376,Diarrhoeal diseases,170.7248,97.89854,80.33117
2295,Malaysia,23186,Diarrhoeal diseases,3.458105,2.388192,2.195908
2296,Maldives,280,Diarrhoeal diseases,6.822459,2.151087,1.385925
2297,Mali,10968,Diarrhoeal diseases,280.9565,203.2327,170.7499
2298,Malta,397,Diarrhoeal diseases,0.0562697,0.1222577,0.1813057
2299,Mauritania,2709,Diarrhoeal diseases,127.6303,101.3758,82.62137
2300,Mauritius,1185,Diarrhoeal diseases,2.128292,2.474785,1.287822
2301,Mexico,101720,Diarrhoeal diseases,7.064581,3.404947,3.017629
2302,Micronesia (Federated States of),107,Diarrhoeal diseases,24.05307,11.18672,8.804369
2303,Mongolia,2397,Diarrhoeal diseases,14.56256,3.447878,1.7486
2304,Montenegro,614,Diarrhoeal diseases,0.0646829,0.047061,0.0418239
2305,Morocco,28850,Diarrhoeal diseases,12.57243,6.291902,4.129288
2306,Mozambique,18068,Diarrhoeal diseases,117.9982,66.87984,46.88585
2307,Myanmar,46095,Diarrhoeal diseases,66.57089,40.02275,30.29911
2308,Namibia,1899,Diarrhoeal diseases,65.6534,53.97897,39.78414
2309,Nepal,23741,Diarrhoeal diseases,176.1976,92.37175,55.10651
2310,Netherlands,15926,Diarrhoeal diseases,0.0976888,0.4354043,1.215093
2311,New Zealand,3859,Diarrhoeal diseases,0.3129117,0.7101749,0.9052771
2312,Nicaragua,5027,Diarrhoeal diseases,13.67162,6.333599,4.680538
2313,Niger,11353,Diarrhoeal diseases,250.9268,167.3781,134.861
2314,Nigeria,122352,Diarrhoeal diseases,236.6514,182.4008,146.5298
2315,Norway,4499,Diarrhoeal diseases,0.7823895,1.87239,1.068106
2316,Oman,2268,Diarrhoeal diseases,2.470118,1.292307,1.092903
2317,Pakistan,138523,Diarrhoeal diseases,78.30881,49.55053,39.50132
2318,Panama,3030,Diarrhoeal diseases,4.834548,5.749897,4.18451
2319,Papua New Guinea,5572,Diarrhoeal diseases,77.55599,54.62818,42.95699
2320,Paraguay,5303,Diarrhoeal diseases,11.9742,5.684039,3.851892
2321,Peru,25915,Diarrhoeal diseases,10.50719,5.322604,4.019048
2322,Philippines,77992,Diarrhoeal diseases,16.39795,10.42403,8.658829
2323,Poland,38551,Diarrhoeal diseases,0.0818323,0.1799786,0.5375508
2324,Portugal,10355,Diarrhoeal diseases,0.1063876,0.2872374,0.6550919
2325,Qatar,592,Diarrhoeal diseases,0.4296775,0.3474708,0.3033813
2326,Republic of Korea,47386,Diarrhoeal diseases,0.9105616,1.106769,0.9812312
2327,Republic of Moldova,4201,Diarrhoeal diseases,0.9775481,0.1701795,0.2275137
2328,Romania,22128,Diarrhoeal diseases,0.9930368,0.2943447,0.4839766
2329,Russian Federation,146397,Diarrhoeal diseases,1.013577,0.3291992,0.2227135
2330,Rwanda,8026,Diarrhoeal diseases,179.3127,73.90045,56.33861
2331,Saint Lucia,157,Diarrhoeal diseases,1.878079,1.164999,1.441382
2332,Saint Vincent and the Grenadines,108,Diarrhoeal diseases,3.730856,1.426172,3.254426
2333,Samoa,175,Diarrhoeal diseases,7.824309,6.065295,4.730101
2334,Sao Tome and Principe,139,Diarrhoeal diseases,45.82722,23.71115,17.77167
2335,Saudi Arabia,20764,Diarrhoeal diseases,4.260425,2.697516,2.411645
2336,Senegal,9884,Diarrhoeal diseases,153.3295,76.15263,62.67197
2337,Serbia,9488,Diarrhoeal diseases,0.2448206,0.2004645,0.8685516
2338,Seychelles,81,Diarrhoeal diseases,2.439604,2.217911,1.905045
2339,Sierra Leone,4564,Diarrhoeal diseases,336.2078,216.4141,178.8278
2340,Singapore,3914,Diarrhoeal diseases,0.5806685,0.6508645,0.6090172
2341,Slovakia,5399,Diarrhoeal diseases,0.3235807,0.1609346,0.3576499
2342,Slovenia,1988,Diarrhoeal diseases,0.1769167,0.0580134,0.0911643
2343,Solomon Islands,413,Diarrhoeal diseases,38.48421,25.36919,18.05556
2344,Somalia,9011,Diarrhoeal diseases,179.6322,140.3161,125.879
2345,South Africa,45728,Diarrhoeal diseases,51.45231,38.66251,32.59297
2346,South Sudan,6701,Diarrhoeal diseases,222.2556,153.6096,126.2225
2347,Spain,40904,Diarrhoeal diseases,0.3309913,0.6016144,0.5884171
2348,Sri Lanka,18782,Diarrhoeal diseases,9.237769,4.140803,2.998607
2349,Sudan,27251,Diarrhoeal diseases,55.01516,35.7721,24.6151
2350,Suriname,472,Diarrhoeal diseases,12.98207,5.203113,5.012411
2351,Swaziland,1061,Diarrhoeal diseases,90.33948,70.3331,58.23161
2352,Sweden,8882,Diarrhoeal diseases,0.2147037,1.292663,0.8842205
2353,Switzerland,7167,Diarrhoeal diseases,0.1690694,0.5509394,0.6317351
2354,Syrian Arab Republic,16411,Diarrhoeal diseases,4.597099,2.871405,6.799382
2355,Tajikistan,6216,Diarrhoeal diseases,30.67837,12.17246,7.85488
2356,Thailand,62958,Diarrhoeal diseases,8.178354,7.175934,5.630274
2357,The former Yugoslav Republic of Macedonia,2035,Diarrhoeal diseases,2.588123,0.1841789,0.2596726
2358,Timor-Leste,872,Diarrhoeal diseases,84.64114,31.47716,20.17288
2359,Togo,4970,Diarrhoeal diseases,139.1566,111.4894,91.59698
2360,Tonga,98,Diarrhoeal diseases,7.122533,5.037259,4.49579
2361,Trinidad and Tobago,1268,Diarrhoeal diseases,2.675842,1.916228,1.702159
2362,Tunisia,9699,Diarrhoeal diseases,5.382041,2.896329,2.356923
2363,Turkey,63240,Diarrhoeal diseases,2.795127,1.079439,0.9120414
2364,Turkmenistan,4516,Diarrhoeal diseases,23.95759,12.4796,7.565289
2365,Uganda,24039,Diarrhoeal diseases,120.0202,77.8697,69.87075
2366,Ukraine,48840,Diarrhoeal diseases,0.8477652,0.6925894,1.209059
2367,United Arab Emirates,3155,Diarrhoeal diseases,3.090545,2.38998,2.112302
2368,United Kingdom,58951,Diarrhoeal diseases,0.5356199,0.8502571,0.9482369
2369,United Republic of Tanzania,34178,Diarrhoeal diseases,159.6137,107.4275,85.37343
2370,United States of America,281983,Diarrhoeal diseases,0.556074,1.936143,1.650876
2371,Uruguay,3321,Diarrhoeal diseases,2.25453,2.186017,2.425563
2372,Uzbekistan,24849,Diarrhoeal diseases,12.66085,4.946624,2.239199
2373,Vanuatu,185,Diarrhoeal diseases,40.03495,27.2327,21.93607
2374,Venezuela (Bolivarian Republic of),24488,Diarrhoeal diseases,8.449655,4.656333,4.07549
2375,Viet Nam,80286,Diarrhoeal diseases,10.58773,4.748181,3.626664
2376,Yemen,17875,Diarrhoeal diseases,46.97754,23.4259,17.16113
2377,Zambia,10531,Diarrhoeal diseases,206.8666,114.005,76.70589
2378,Zimbabwe,12222,Diarrhoeal diseases,54.69209,55.17387,38.44391
2379,Afghanistan,20094,Childhood-cluster diseases,62.5538,21.00511,3.991744
2380,Albania,3122,Childhood-cluster diseases,0.1938941,0.1442414,0.1157357
2381,Algeria,31184,Childhood-cluster diseases,4.893978,0.3308218,0.2204644
2382,Angola,16441,Childhood-cluster diseases,35.88718,4.331305,2.156026
2383,Antigua and Barbuda,84,Childhood-cluster diseases,0.6066176,0.0002167,7.41e-05
2384,Argentina,37057,Childhood-cluster diseases,0.1021516,0.0759029,0.0589784
2385,Armenia,3070,Childhood-cluster diseases,0.1544728,0.1067315,0.1375493
2386,Australia,19066,Childhood-cluster diseases,0.016446,0.022036,0.0120719
2387,Austria,8069,Childhood-cluster diseases,0.0008948,0.0002449,0.0234469
2388,Azerbaijan,8123,Childhood-cluster diseases,1.941234,0.2892757,0.1344706
2389,Bahamas,298,Childhood-cluster diseases,0.0262118,0.0132132,0.0066383
2390,Bahrain,665,Childhood-cluster diseases,0.0196872,0.0120969,0.0109043
2391,Bangladesh,131581,Childhood-cluster diseases,10.22458,2.384595,0.4907646
2392,Barbados,270,Childhood-cluster diseases,0.2333403,0.1379668,0.000157
2393,Belarus,9934,Childhood-cluster diseases,0.0107381,0.0036755,0.0021314
2394,Belgium,10282,Childhood-cluster diseases,0.0298232,0.0256149,0.0099308
2395,Belize,247,Childhood-cluster diseases,0.2405364,0.0810452,0.0460184
2396,Benin,6866,Childhood-cluster diseases,33.47196,7.586428,3.244098
2397,Bhutan,573,Childhood-cluster diseases,5.673965,0.6580744,0.4586603
2398,Bolivia (Plurinational State of),8340,Childhood-cluster diseases,2.235587,0.6770212,0.3523281
2399,Bosnia and Herzegovina,3767,Childhood-cluster diseases,0.3172482,0.1430062,0.2625355
2400,Botswana,1728,Childhood-cluster diseases,27.34207,3.785677,0.5801591
2401,Brazil,175288,Childhood-cluster diseases,0.2128383,0.0996233,0.1281431
2402,Brunei Darussalam,333,Childhood-cluster diseases,0.1407764,0.0616507,0.0459348
2403,Bulgaria,7998,Childhood-cluster diseases,0.0102321,0.3084467,0.0127718
2404,Burkina Faso,11608,Childhood-cluster diseases,62.00628,11.36591,2.977496
2405,Burundi,6401,Childhood-cluster diseases,39.26512,4.710067,4.028585
2406,Cambodia,12152,Childhood-cluster diseases,38.13018,5.167193,1.453683
2407,Cameroon,15274,Childhood-cluster diseases,31.65523,3.56732,1.648612
2408,Canada,30736,Childhood-cluster diseases,0.0198194,0.0085839,0.0072095
2409,Cape Verde,435,Childhood-cluster diseases,5.669314,0.6961586,0.1805193
2410,Central African Republic,3755,Childhood-cluster diseases,53.90928,10.97951,20.20085
2411,Chad,8343,Childhood-cluster diseases,66.04098,16.1244,9.954337
2412,Chile,15263,Childhood-cluster diseases,0.08736,0.0869034,0.0971955
2413,China,1290291,Childhood-cluster diseases,0.9007147,0.1623297,0.1115006
2414,Colombia,40404,Childhood-cluster diseases,0.2667658,0.1048551,0.16241
2415,Comoros,542,Childhood-cluster diseases,13.23005,3.250704,2.874258
2416,Congo,3226,Childhood-cluster diseases,32.66668,2.703388,4.838065
2417,Costa Rica,3925,Childhood-cluster diseases,0.0269819,0.0539028,0.0001978
2418,Côte d'Ivoire,16687,Childhood-cluster diseases,30.9318,6.316196,3.393732
2419,Croatia,4428,Childhood-cluster diseases,0.0851646,0.0630654,0.0118971
2420,Cuba,11151,Childhood-cluster diseases,0.0092959,0.0002075,0.0001646
2421,Cyprus,943,Childhood-cluster diseases,0.0469116,8.55e-05,1.36e-05
2422,Czechia,10290,Childhood-cluster diseases,0.0002773,5.13e-05,7.13e-05
2423,Democratic People's Republic of Korea,22929,Childhood-cluster diseases,0.8524335,0.2697858,0.1480362
