,Country,Population,variable,2000,2010,2016
103,Mauritania,2709,All Causes,1376.368,1295.395,1211.219
104,Mauritius,1185,All Causes,883.9629,729.9358,650.6204
105,Mexico,101720,All Causes,628.4544,613.9597,563.2906
106,Micronesia (Federated States of),107,All Causes,1054.35,983.9326,959.3862
107,Mongolia,2397,All Causes,1439.997,1075.64,949.3825
108,Montenegro,614,All Causes,788.1717,668.2938,606.7632
109,Morocco,28850,All Causes,973.3483,710.2672,636.2743
110,Mozambique,18068,All Causes,1961.71,1575.531,1306.772
111,Myanmar,46095,All Causes,1298.379,1146.656,1069.139
112,Namibia,1899,All Causes,1654.307,1364.337,1237.429
113,Nepal,23741,All Causes,1274.783,1014.382,910.5646
114,Netherlands,15926,All Causes,529.5757,411.8241,385.9692
115,New Zealand,3859,All Causes,482.1197,390.9168,357.3475
116,Nicaragua,5027,All Causes,826.0879,652.0257,588.5222
117,Niger,11353,All Causes,1933.242,1566.606,1395.333
118,Nigeria,122352,All Causes,2315.339,1987.552,1827.655
119,Norway,4499,All Causes,496.504,403.7441,358.3695
120,Oman,2268,All Causes,770.9528,628.6419,564.2111
121,Pakistan,138523,All Causes,1145.629,1076.579,1001.981
122,Panama,3030,All Causes,568.744,541.8894,493.6352
123,Papua New Guinea,5572,All Causes,1278.913,1118.886,1067.93
124,Paraguay,5303,All Causes,783.7906,685.5542,651.4986
125,Peru,25915,All Causes,770.5454,640.7837,590.5244
126,Philippines,77992,All Causes,1107.792,1027.168,964.1684
127,Poland,38551,All Causes,735.295,599.0922,531.5325
128,Portugal,10355,All Causes,569.6569,443.1638,385.5412
129,Qatar,592,All Causes,610.2603,573.9785,527.6467
130,Republic of Korea,47386,All Causes,599.1574,410.7859,341.2188
131,Republic of Moldova,4201,All Causes,1106.034,1042.717,870.6095
132,Romania,22128,All Causes,858.141,732.4921,650.686
133,Russian Federation,146397,All Causes,1184.582,971.5826,797.7814
134,Rwanda,8026,All Causes,2141.841,1104.504,954.2296
135,Saint Lucia,157,All Causes,755.6215,636.8444,606.1003
136,Saint Vincent and the Grenadines,108,All Causes,828.1342,808.2557,811.1816
137,Samoa,175,All Causes,922.4102,739.0254,639.9725
138,Sao Tome and Principe,139,All Causes,1149.442,997.7384,937.1559
139,Saudi Arabia,20764,All Causes,793.8612,747.7693,699.4939
140,Senegal,9884,All Causes,1538.955,1232.177,1097.035
141,Serbia,9488,All Causes,843.2083,703.4321,629.8387
142,Seychelles,81,All Causes,813.7528,783.9995,729.8164
143,Sierra Leone,4564,All Causes,3157.763,2216.051,1986.817
144,Singapore,3914,All Causes,509.0671,378.4533,337.8685
145,Slovakia,5399,All Causes,777.6862,655.3015,550.8966
146,Slovenia,1988,All Causes,613.8675,457.9654,405.803
147,Solomon Islands,413,All Causes,1144.65,961.6095,880.4256
148,Somalia,9011,All Causes,1838.611,1632.075,1527.849
149,South Africa,45728,All Causes,1457.613,1531.054,1212.525
150,South Sudan,6701,All Causes,1873.17,1552.672,1408.646
