6,Population ('000) (2)   ,All Causes   ,"Communicable, maternal, perinatal and nutritional conditions   ",A. Infectious and parasitic diseases  , 1. Tuberculosis , 2. STDs excluding HIV ,  a. Syphilis,  b. Chlamydia,  c. Gonorrhoea,  d. Trichomoniasis,  e. Genital herpes,  f. Other STDs, 3. HIV/AIDS , 4. Diarrhoeal diseases , 5. Childhood-cluster diseases ,  a. Whooping cough,  b. Diphtheria,  c. Measles,  d. Tetanus, 6. Meningitis , 7. Encephalitis , 8. Hepatitis ,  a. Acute hepatitis A,  b. Acute hepatitis B,  c. Acute hepatitis C,  d. Acute hepatitis E, 9. Parasitic and vector diseases ,  a. Malaria,  b. African Trypanosomiasis,  c. Chagas disease,  d. Schistosomiasis,  e. Leishmaniasis,  f. lymphatic filariasis,  g. Onchocerciasis,  h. Cysticercosis,  i. Echinococcosis,  j. Dengue,  k. Trachoma,  l. Yellow fever,  m. Rabies, 10. Intestinal nematode infections ,  a. Ascariasis,  b. Trichuriasis,  c. Hookworm disease,  d. Food-bourne trematodes, 11. Leprosy , 12. Other infectious diseases ,B. Respiratory Infectious   , 1. Lower respiratory infections , 2. Upper respiratory infections , 3. Otitis media ,C. Maternal conditions  ,D. Neonatal conditions  , 1. Preterm birth complications , 2. Birth asphyxia and birth trauma , 3. Neonatal sepsis and infections , 4. Other neonatal conditions ,E. Nutritional deficiencies  , 1. Protein-energy malnutrition , 2. Iodine deficiency , 3. Vitamin A deficiency , 4. Iron-deficiency anaemia , 5. Other nutritional deficiencies ,Noncommunicable diseases   ,A. Malignant neoplasms  , 1. Mouth and oropharynx cancers ,  a. Lip and oral cavity,  b. Nasopharynx,  c. Other pharynx, 2. Oesophagus cancer , 3. Stomach cancer , 4. Colon and rectum cancers , 5. Liver cancer ,  a. Liver cancer secondary to hepatitis B,  b. Liver cancer secondary to hepatitis C,  c. Liver cancer secondary to alcohol use,  d. Other liver cancer, 6. Pancreas cancer ," 7. Trachea, bronchus, lung cancers ", 8. Melanoma and other skin cancers ,  a. Malignant skin melanoma,  b. Non-melanoma skin cancer, 9. Breast cancer , 10. Cervix uteri cancer , 11. Corpus uteri cancer , 12. Ovary cancer , 13. Prostate cancer , 14. Testicular cancer , 15. Kidney cancer , 16. Bladder cancer , 17. Brain and nervous system cancers , 18. Gallbladder and biliary tract cancer , 19. Larynx cancer , 20. Thyroid cancer , 21. Mesothelioma ," 22. Lymphomas, multiple myeloma ",  a. Hodgkin lymphoma,  b. Non-Hodgkin lymphoma,  c. Multiple myeloma, 23. Leukaemia , 24. Other malignant neoplasms ,B. Other neoplasms  ,C. Diabetes mellitus  ,"D. Endocrine, blood, immune disorders  ", 1. Thalassaemias , 2. Sickle cell disorders and trait , 3. Other haemoglobinopathies and haemolytic anaemias ," 4. Other endocrine, blood and immune disorders ",E. Mental and substance use disorders  , 1. Depressive disorders ,  a. Major depressive disorder,  b. Dysthymia, 2. Bipolar disorder , 3. Schizophrenia , 4. Alcohol use disorders , 5. Drug use disorders ,  a. Opioid use disorders,  b. Cocaine use disorders,  c. Amphetamine use disorders,  d. Cannabis use disorders,  e. Other drug use disorders, 6. Anxiety disorders , 7. Eating disorders , 8. Autism and Asperger syndrome , 9. Childhood behavioural disorders ,  a. Attention deficit/hyperactivity syndrome,  b. Conduct disorder, 10. Idiopathic intellectual disability , 11. Other mental and behavioural disorders ,F. Neurological conditions  , 1. Alzheimer disease and other dementias , 2. Parkinson disease , 3. Epilepsy , 4. Multiple sclerosis , 5. Migraine , 6. Non-migraine headache , 7. Other neurological conditions ,G. Sense organ diseases  ,H. Cardiovascular diseases  , 1. Rheumatic heart disease , 2. Hypertensive heart disease , 3. Ischaemic heart disease , 4. Stroke ,  a. Ischaemic stroke,  b. Haemorrhagic stroke," 5. Cardiomyopathy, myocarditis, endocarditis ", 6. Other circulatory diseases ,I. Respiratory diseases  , 1. Chronic obstructive pulmonary disease , 2. Asthma , 3. Other respiratory diseases ,J. Digestive diseases  , 1. Peptic ulcer disease , 2. Cirrhosis of the liver ,  a. Cirrhosis due to hepatitis B,  b. Cirrhosis due to hepatitis C,  c. Cirrhosis due to alcohol use,  d. Other liver cirrhosis, 3. Appendicitis , 4. Gastritis and duodenitis , 5. Paralytic ileus and intestinal obstruction , 6. Inflammatory bowel disease , 7. Gallbladder and biliary diseases , 8. Pancreatitis , 9. Other digestive diseases ,K. Genitourinary diseases  , 1. Kidney diseases ,  a. Acute glomerulonephritis,  b. Chronic kidney disease due to diabetes,  c. Other chronic kidney disease, 2. Benign prostatic hyperplasia , 3. Urolithiasis , 4. Other urinary diseases , 5. Infertility , 6. Gynecological diseases ,L. Skin diseases  ,M. Musculoskeletal diseases  , 1. Rheumatoid arthritis , 2. Osteoarthritis , 3. Gout , 4. Back and neck pain , 5. Other musculoskeletal disorders ,N. Congenital anomalies  , 1. Neural tube defects , 2. Cleft lip and cleft palate , 3. Down syndrome , 4. Congenital heart anomalies , 5. Other chromosomal anomalies , 6. Other congenital anomalies ,O. Oral conditions  ,P. Sudden infant death syndrome  ,Injuries   ,A. Unintentional injuries  , 1. Road injury , 2. Poisonings , 3. Falls ," 4. Fire, heat and hot substances ", 5. Drowning , 6. Exposure to mechanical forces , 7. Natural disasters , 8. Other unintentional injuries ,B. Intentional injuries  , 1. Self-harm , 2. Interpersonal violence , 3. Collective violence and legal intervention 
Afghanistan,20094,1617.46,559.5589,315.0906,170.7152,3.567795,3.491298,0.0144806,0.0415336,.,.,0.0204823,0.7186142,43.62742,62.5538,0.6302124,1.363908,35.57226,24.98742,15.90795,0.6782913,1.89324,0.0554708,1.574821,0.0235506,0.2393974,9.240652,3.91388,.,.,.,0.1112333,.,.,0.1162683,0.0574483,0.0056551,.,.,5.036167,0.1256172,0.1256172,.,.,.,0.0450329,6.017066,84.92771,84.47973,0.2020847,0.2458992,58.57582,96.91619,39.82958,35.69092,14.01847,7.377226,4.048512,3.315784,0.0674958,.,0.0509188,0.6143139,925.5174,124.1343,8.997827,6.191597,0.5211073,2.285122,11.20541,17.3041,4.939013,5.971778,2.995581,1.50885,0.8146346,0.6527126,1.361237,7.348156,1.597292,0.6415086,0.9557838,11.66775,4.973536,2.531874,1.840845,2.485068,0.5441326,1.477286,3.138579,3.616456,1.031914,2.216926,0.9734937,0.0898266,7.435978,2.076078,4.88044,0.4794597,3.549094,17.83676,4.17394,46.1524,6.424294,0.1071749,2.156517,1.656082,2.504521,1.420546,.,.,.,.,.,0.5585995,0.8601823,0.6351505,0.0437648,0.0226288,.,0.1586383,.,0.0017644,.,.,.,.,.,.,37.135,32.05553,1.573549,2.874347,0.1927582,.,.,0.4388141,.,532.8446,9.634623,10.72292,333.0354,160.4229,80.45754,79.96535,3.293519,15.73521,68.43624,45.19177,21.23174,2.01273,45.17145,12.90864,19.62537,8.95291,4.624719,1.328147,4.719597,1.785829,0.1054438,2.234684,0.2465772,2.207101,0.9735217,5.084276,44.08369,42.42025,0.0251616,16.63127,25.76381,.,0.0193872,1.588139,.,0.0559219,1.085831,0.605663,0.2016239,.,.,.,0.4040391,12.45355,2.806404,0.0101864,0.4132935,4.305138,0.090498,4.828032,.,1.395902,132.3837,67.26028,19.10005,1.5163,12.86345,1.932442,10.29252,9.982976,.,11.57254,65.12338,8.136609,10.05844,46.92833
Albania,3122,766.3497,50.52316,8.43844,1.03288,0.0677191,0.0520935,0.002537,0.00904,.,.,0.0040486,0.1365821,1.487064,0.1938941,0.0162679,0.0017286,0.0554269,0.1204707,1.588524,1.343557,0.2128234,0.0298206,0.1405248,0.0055503,0.0369276,0.8523783,.,.,.,.,0.7572778,.,.,.,0.0210703,.,.,.,0.0740303,0.0033054,0.0033054,.,.,.,4.46e-05,1.519668,26.85325,26.82062,0.0258555,0.0067738,0.4944131,14.04039,8.316479,2.579878,1.435385,1.708651,0.6966691,0.6288312,0.0120773,.,0.0116514,0.0441092,661.9778,137.087,3.334556,1.608004,0.4545621,1.27199,1.57347,23.83377,4.396928,10.11805,3.020046,4.407756,1.614898,1.075346,4.30508,32.04619,1.91703,0.8623579,1.054672,8.129298,1.029153,1.286477,0.6635465,4.593191,0.2088981,2.078779,4.466674,7.014132,0.5141747,2.79154,0.4457022,0.8806785,1.903412,0.9125653,0.6998999,0.2909464,4.601297,14.95502,5.916858,5.350097,3.48994,0.2177598,0.1420196,1.065964,2.064197,1.29343,.,.,.,.,.,0.4324168,0.8534612,0.6835699,0.0176365,0.0104632,.,0.1417916,.,0.0075517,.,.,.,.,.,.,36.07123,26.65554,3.670033,2.568715,1.329294,.,.,1.847653,.,398.8428,3.403065,5.524165,186.6712,160.4496,23.9268,136.5228,15.01289,27.78189,32.91422,22.83639,7.198689,2.87914,15.86839,1.591829,9.20846,1.815532,2.141943,3.231213,2.019773,0.135386,0.0495172,1.019631,0.4777857,0.487523,0.8559993,2.042255,13.80229,12.51439,0.1706728,2.969198,9.374518,.,0.0321669,1.154047,.,0.1016868,0.185013,0.4631753,0.2568422,.,.,.,0.2063332,9.857946,1.152014,0.0066646,0.1879174,6.384171,0.2322101,1.894969,.,0.8354343,53.84872,41.74145,16.67661,1.063143,2.481182,0.9020346,3.333463,6.822275,.,10.46275,12.10727,5.826388,6.081221,0.199659
Algeria,31184,814.9004,112.5507,37.6914,14.21778,1.127685,1.099142,0.0054975,0.0155686,.,.,0.0074764,0.6988377,8.28845,4.893978,0.0325251,0.0054765,4.533244,0.3227323,2.116868,0.590057,1.458373,0.0776426,1.132697,0.0276781,0.2203545,2.14567,0.0075314,.,.,1.226555,0.2097175,.,.,0.056738,0.0554755,.,.,.,0.5896517,0.0145116,0.0145116,.,.,.,.,2.139195,39.52162,39.47644,0.0359725,0.009206,2.889072,31.25105,15.95796,8.355731,4.489995,2.447369,1.197547,1.021735,0.0315002,.,0.0309292,0.1133832,633.07,79.81877,3.509812,0.6489836,2.084923,0.7759058,0.5583748,6.743248,6.837139,1.387933,0.2986316,0.7473883,0.1856187,0.1562946,1.619839,10.48867,0.5475835,0.2217652,0.3258183,8.058976,2.210331,0.2443471,1.910958,2.38926,0.2092856,0.9378363,2.551479,3.125029,3.613518,1.05986,1.959494,0.1923005,5.482754,1.213607,2.966545,1.302602,4.059626,10.12112,1.46713,29.9674,4.700552,0.2028893,0.3211624,1.060101,3.116399,1.335271,.,.,.,.,.,0.357357,0.9746123,0.7369255,0.0337765,0.0173918,.,0.1865185,.,0.0033014,.,.,.,.,.,.,52.25549,46.58316,2.978803,1.751492,0.1833296,.,.,0.7587049,.,359.3517,2.535908,8.545427,234.759,86.99328,48.43965,38.55363,5.95811,20.55999,32.08039,21.76898,7.32231,2.989108,27.5989,3.121938,15.87532,3.230136,7.659879,1.224757,3.760547,0.7751295,0.0592093,2.566237,0.2886989,1.5458,0.8952831,2.471284,31.13692,29.3773,0.0177364,11.60571,17.75386,.,0.025559,1.713567,.,0.0204938,2.05139,0.6721224,0.1178696,.,.,.,0.5542528,9.869269,0.5020025,0.0040805,0.4808328,4.225545,0.2313801,4.425428,.,0.764654,69.27974,50.64558,26.79875,1.339033,5.631764,3.560195,3.504731,3.019907,0.1963918,6.594805,18.63416,4.72215,7.421035,6.49097
Angola,16441,2014.845,1139.892,707.6833,145.7306,9.489314,8.96058,0.100591,0.2844356,.,.,0.1437071,31.10634,269.2838,35.88718,0.6635638,0.7460408,19.22396,15.25361,39.37411,1.688024,6.398748,0.0931612,5.258317,0.151317,0.8959525,149.935,67.31312,51.34911,.,15.9128,.,.,.,6.975663,0.0362823,0.0030587,.,6.287998,2.056918,1.00693,1.00693,.,.,.,0.5252003,17.25809,196.9181,196.5572,0.1810027,0.1799088,59.45615,100.9222,41.26955,40.99263,14.52726,4.132759,74.91266,61.5053,0.4858882,.,0.1463712,12.7751,736.8288,77.74993,3.260983,1.999745,0.5786805,0.6825581,5.476188,4.844471,3.670191,3.912796,0.9579434,1.593453,1.031861,0.3295393,0.9156887,1.720908,1.564211,0.9993858,0.5648253,6.13029,13.21164,0.7491207,1.341733,9.610565,0.1483466,0.6004224,1.552718,0.5296837,0.2153789,0.783407,0.7333163,0.0757959,3.418338,0.54355,2.102461,0.7723266,1.650773,11.63296,2.266142,25.51642,9.162301,0.0036112,5.142976,2.49784,1.517874,3.790219,.,.,.,.,.,2.547441,1.236944,1.072613,0.0376781,0.0202591,.,0.1063931,.,0.0058347,.,.,.,.,.,.,38.18009,31.3933,1.238777,4.73808,0.0963765,.,.,0.7135584,.,371.7918,10.25037,30.52576,151.6444,139.8972,54.7937,85.10345,8.066155,31.40788,57.24887,39.33444,16.41133,1.503102,106.3866,18.08776,46.96434,12.20406,18.14111,10.29625,6.322916,3.815723,2.967251,14.28777,2.032659,4.16726,2.429999,11.63389,18.12311,12.93504,0.0541091,3.612876,9.268055,.,0.0527431,4.761616,.,0.3737068,4.886431,1.326223,0.533223,.,.,.,0.7930001,19.11736,5.536853,0.1421781,0.2620421,5.131319,0.3689302,7.67604,.,1.283266,138.1233,95.80337,19.07898,4.848006,14.71595,10.13616,16.76879,9.095646,0.6190613,20.54077,42.31997,13.89236,14.19063,14.23697
Antigua and Barbuda,84,779.1912,93.01495,34.33326,0.4460081,0.0409437,0.038385,0.0007684,0.0011098,.,.,0.0006804,14.74413,0.0138868,0.6066176,0.0001,8.27e-05,3.35e-05,0.6064013,4.565516,3.027639,0.850282,0.0381678,0.0020815,0.0001473,0.8098855,0.0015222,.,.,.,.,.,.,.,.,.,0.0015222,.,.,.,0.0002557,0.0002557,.,.,.,.,10.03646,30.18783,30.18763,6.71e-05,0.0001346,4.178352,16.17209,9.17654,5.982038,.,1.013511,8.143415,0.9176489,0.000525,.,7.223335,0.0019064,640.7643,142.3704,4.575309,1.129701,1.130835,2.314772,1.135426,10.46497,9.995385,5.676075,2.217104,1.400124,1.13552,0.9233259,7.865466,9.118525,1.436694,0.3174852,1.119209,13.63864,5.799662,1.597145,0.8610766,39.2171,.,0.8991364,0.3128924,3.096024,6.79801,2.081042,1.467724,0.0002471,7.802583,0.011408,5.135286,2.655889,5.015951,3.515315,3.528662,83.32112,12.5227,0.0634479,1.40121,2.471848,8.586193,8.173916,.,.,.,0.7332481,.,6.308427,1.113963,0.707504,0.110053,0.0409948,.,0.2554108,.,0.0182784,.,.,.,.,.,.,12.36401,2.791993,0.50298,7.264262,0.0050449,.,.,1.799735,.,271.3456,0.5578171,36.22606,123.9946,78.77702,36.66683,42.11019,1.705484,30.08466,26.48272,18.04746,1.535485,6.899772,38.02808,2.852007,11.81877,3.305206,1.590698,3.917189,3.005682,0.574653,1.201529,4.906987,0.0201118,2.114431,0.7439393,13.79564,31.00276,28.46739,0.0048052,8.197155,20.26543,1.1494,0.0283699,1.354226,.,0.0033748,4.146437,1.599073,0.5437136,.,.,.,1.05536,5.508794,0.2944809,0.0390044,0.0682666,3.180197,0.2521277,1.674717,.,0.3700229,45.41196,38.98817,10.40035,0.5529636,1.567318,2.215903,6.677111,1.488337,.,16.0862,6.423789,2.077088,3.976848,0.3698522
Argentina,37057,680.8901,83.76664,34.13509,2.382408,0.3695288,0.3384393,0.005719,0.0166407,.,.,0.0087298,4.931874,1.267084,0.1021516,0.059628,0.0006971,.,0.0418265,1.408393,5.390929,1.741147,0.5174881,0.294132,.,0.929527,5.794852,.,.,1.669558,.,0.0058219,.,.,0.0763976,2.367894,4.65e-05,.,1.674025,0.0011098,0.0025419,0.0025419,.,.,.,.,10.74418,27.71023,27.68803,0.0141469,0.0080578,1.299318,16.0208,10.15576,2.246176,2.184403,1.434464,4.601204,3.3704,0.0017269,.,0.9953216,0.2337551,543.8097,144.3416,2.558415,1.681903,0.1340713,0.7424404,5.850203,8.757048,16.19808,4.892562,1.019146,1.31679,2.291199,0.265428,8.419236,23.30499,1.828372,1.070152,0.7582197,15.23485,5.344877,2.149121,2.76096,9.516238,0.4496649,3.81446,3.562932,2.778804,3.587636,2.931903,0.4909878,0.22693,6.290529,0.4736147,4.08227,1.734645,5.18277,8.210068,5.836109,23.13963,6.360794,0.0886872,0.0710546,2.825534,3.375518,4.092188,.,.,.,.,0.0719163,2.516486,1.430846,0.8790055,0.0960401,0.0435327,.,0.4122678,.,0.0502534,.,.,.,.,0.0226861,.,11.18153,5.48396,1.518316,0.6559689,0.385065,.,.,3.138223,.,216.3909,0.6970628,5.912933,119.9087,58.3737,29.26157,29.11214,8.702458,22.796,70.35602,42.42378,2.703523,25.22872,30.00012,0.9844219,7.354521,2.067627,1.760206,2.66287,0.8638186,0.0880944,0.1873384,2.312801,0.1397284,1.39478,1.847822,15.69061,18.82077,16.38073,0.0082074,4.912129,11.46039,0.1288146,0.0163894,2.282071,.,0.0127676,1.270483,1.580965,0.3722965,0.0798062,0.0046683,0.0173245,1.10687,9.517223,0.9390964,0.0028144,0.3099683,4.117351,0.3404983,3.807495,.,0.9213782,53.3137,36.04778,11.65086,0.8204142,0.9823201,1.207235,2.3193,1.655869,0.1061603,17.30562,17.26592,9.522983,7.548811,0.1941248
Armenia,3070,784.2334,52.30369,12.49579,6.211653,0.3248678,0.2072866,0.0194273,0.0675489,.,.,0.0306051,0.5977629,2.73473,0.1544728,0.0023685,0.003318,0.137087,0.0116994,1.286279,0.5832488,0.1787272,0.0444822,0.1127383,0.0035418,0.0179649,0.1887481,.,.,.,.,0.028065,.,.,.,0.0658389,.,.,.,0.0948443,0.0040266,0.0040266,.,.,.,.,0.2312691,15.63928,15.60517,0.0319691,0.0021412,0.5165188,22.40764,13.11229,4.125472,2.506096,2.663782,1.244464,0.3536672,0.0798795,.,0.2766706,0.5342463,685.7144,203.5038,3.19688,1.246799,0.62397,1.32611,1.572811,16.16576,11.20136,9.946174,4.497061,3.132605,1.458876,0.8576316,9.8937,34.32972,1.441898,1.161666,0.2802318,18.1427,5.492326,1.470306,3.617269,3.370773,0.1901143,1.445026,6.266586,6.027057,1.863299,3.769089,0.800978,0.2074507,2.741296,0.3321801,1.946535,0.4625806,5.201679,55.14955,1.703229,29.51513,0.5874951,0.0422869,0.0381708,0.1834684,0.3235689,2.31231,.,.,.,.,.,1.168378,1.143355,0.976777,0.0121695,0.0076475,.,0.1467607,.,0.0005775,.,.,.,.,.,.,21.76381,17.58799,2.233789,1.255688,0.1572608,.,.,0.5290845,.,354.0053,4.073241,10.66016,242.6109,85.13604,51.00288,34.13316,2.102471,9.422542,31.92221,28.0791,1.099279,2.743824,22.12445,3.229604,12.38913,4.396381,2.591142,3.437006,1.964598,0.220173,0.1330596,1.32217,0.1972581,1.066781,0.5809519,2.985321,7.842387,4.766634,0.1630275,2.056652,2.546955,.,0.3444153,2.726951,.,0.0043865,0.0397654,0.1898113,0.1089834,.,.,.,0.080828,10.01042,1.573104,0.0434535,0.1212937,3.997126,0.0494929,4.225949,.,0.1942587,46.21535,39.40917,19.48726,0.9780741,3.192257,2.856205,4.669675,1.556224,.,6.669473,6.80618,3.215591,3.392728,0.1978615
Australia,19066,448.9097,20.80146,5.643552,0.1877906,0.0469502,0.0173247,0.0059061,0.0179595,.,.,0.0057599,0.6540351,0.1099269,0.016446,0.0108852,0.0002999,.,0.0052609,0.4069015,0.5458348,0.4226618,0.0654889,0.0478802,.,0.3092928,0.0209029,.,.,.,.,.,.,.,.,.,0.0176213,.,.,0.0032816,.,.,.,.,.,.,3.232102,9.789313,9.733694,0.031738,0.0238808,0.1113121,4.605598,1.85833,1.042642,0.2599886,1.444637,0.6516847,0.2022466,0.0004223,.,0.2793511,0.1696647,393.4889,132.0124,2.860491,1.591972,0.3015367,0.9669821,3.887049,4.690153,19.74757,2.822791,1.250437,0.2560866,1.092183,0.2240845,6.304586,25.71745,5.452399,4.127408,1.324991,10.777,1.094157,1.110247,2.940352,9.455403,0.1113745,3.287169,2.950927,5.102984,1.287507,1.011146,0.3690592,1.785501,9.593356,0.2871685,6.430909,2.875279,5.644472,4.009276,2.507746,10.36045,5.050141,0.0319618,0.0125049,0.5361943,4.46948,6.987488,.,.,.,0.0155369,0.0915395,1.392256,5.407325,4.004308,0.0316329,0.1873627,.,1.184021,.,0.0430879,.,.,.,.,0.0377432,.,20.0305,11.52905,2.544656,1.28646,0.4609351,0.0034955,.,4.205899,0.0162315,156.294,0.9221008,2.255865,95.9594,37.93066,18.20714,19.72352,3.947011,15.27899,28.73767,21.6854,1.934185,5.118085,14.24367,1.535356,3.892887,1.929754,0.4040372,1.091522,0.4675733,0.0821194,0.0799581,1.134784,0.4107069,0.884288,0.6527445,5.570823,8.517485,6.474358,0.011818,2.269783,4.192757,0.1092815,0.0870608,1.826736,.,0.0200488,0.7592817,2.840189,0.5718408,0.3147724,0.0626315,0.0761091,1.814835,4.488446,0.2444742,0.002209,0.3285362,1.579887,0.6222335,1.711106,0.0336089,0.6095856,34.61933,20.73954,9.340476,0.2207929,2.145787,0.4723516,1.354444,1.246189,0.0223782,5.937123,13.87978,12.20063,1.646695,0.032453
Austria,8069,508.9051,15.52833,3.137063,0.5817346,0.0112461,0.0077313,0.0008214,0.0021035,.,.,0.0005899,0.5607564,0.0626774,0.0008948,.,0.0008948,.,.,0.3041983,0.592433,0.3571258,0.0308445,0.2523033,.,0.073978,0.0914558,.,.,.,.,.,.,.,.,0.0914558,.,.,.,.,.,.,.,.,.,.,0.5745409,8.865701,8.845189,0.0069871,0.013524,0.0529015,3.421437,2.135832,0.5512469,0.1266533,0.6077041,0.0512238,0.002594,0.000342,.,0.0172103,0.0310775,450.6499,135.1437,4.266794,2.30461,0.2302687,1.731916,2.229968,8.760384,17.74829,4.919583,0.9936506,1.266377,2.474754,0.1848014,8.932005,25.22942,2.4729,2.083017,0.3898835,12.97111,1.431176,2.395104,3.93194,7.697144,0.2090594,4.26187,3.266828,3.998373,2.97591,1.481262,0.7003546,.,6.31096,0.2584653,3.905384,2.147111,4.713764,4.23954,2.469479,8.691853,0.9685811,0.0134511,0.0205211,0.3158362,0.6187727,5.108572,.,.,.,.,.,2.901935,2.175239,1.984746,0.0037183,0.0099504,.,0.1768249,.,0.0313972,.,.,.,.,.,.,7.440348,1.842633,2.242878,0.9149168,0.4912875,.,.,1.948632,.,226.7014,1.112631,4.75992,142.0018,51.23255,29.56486,21.66769,0.5990344,26.99556,26.15003,22.41514,1.284396,2.450497,25.8868,1.619677,15.50199,3.482746,3.167518,7.940874,0.9108531,0.088348,0.0453074,0.8108199,0.6592107,0.5540169,1.387993,5.219435,5.964073,4.742541,0.0061515,1.300319,3.436071,0.0209434,0.0962397,1.088191,.,0.0161576,0.1574745,0.8995304,0.3973677,0.0044824,.,0.083759,0.4139213,4.520807,0.1190541,0.001928,0.3877704,1.6838,0.4470986,1.881156,.,0.5471519,42.7269,25.71967,11.30559,0.22663,6.655619,1.955923,0.9302992,1.481836,0.2111945,2.952579,17.00723,16.02671,0.948429,0.0320919
Azerbaijan,8123,1018.565,148.1211,54.39489,25.4977,0.3864954,0.3192955,0.0125306,0.0384947,.,.,0.0161746,0.3931611,17.06676,1.941234,0.1561277,0.3703558,0.280542,1.134209,2.669107,1.892799,0.8978072,0.3409936,0.3865423,0.013197,0.1570743,0.4521258,0.0147691,.,.,.,0.054841,.,.,.,0.1139833,.,.,.,0.2685324,0.0280295,0.0280295,.,.,.,.,3.16966,38.38978,38.35007,0.0383363,0.0013715,0.6883223,52.20505,28.01087,16.09964,5.566713,2.527823,2.443062,1.96204,0.1278533,.,0.0542702,0.2988981,833.1745,111.7169,1.223476,0.4867982,0.1726139,0.5640643,5.095803,15.75402,4.254962,5.569883,2.539883,1.74138,0.8330126,0.4556073,1.847474,11.38242,0.9660941,0.391097,0.5749971,5.711298,2.459374,0.5604257,0.9795568,2.154438,0.1481415,1.156852,1.547834,4.002897,0.5614147,1.930186,0.3284108,0.0530463,2.213664,0.9272062,1.075228,0.2112297,3.472169,38.34302,0.1518172,18.99094,5.735518,1.771372,0.2971525,0.9051525,2.76184,8.095016,.,.,.,.,.,6.474715,1.61904,1.107117,0.1003466,0.0507477,.,0.3608285,.,0.0012606,.,.,.,.,.,.,25.65733,19.37653,2.484825,3.150488,0.0935357,.,.,0.5519552,.,547.6777,4.069929,9.473814,399.0529,120.8238,35.78609,85.03776,7.262133,6.995087,38.86964,32.16901,3.793874,2.906759,50.64052,3.842426,39.95207,12.80251,8.825571,10.9894,7.334586,0.2280564,0.0176203,1.404201,0.1358505,0.6450234,0.4580196,3.957253,14.72952,11.20782,0.5560212,4.272153,6.379647,.,0.1010651,3.415542,.,0.0050933,0.0416137,0.1309599,0.0452155,.,.,.,0.0857445,10.09464,0.8667474,0.0123987,0.1411039,6.583655,0.0759705,2.414761,.,0.6424928,37.26943,31.4036,8.710187,1.100382,2.461475,6.110573,4.642526,2.610108,0.5779142,5.190431,5.865833,2.441704,3.349412,0.0747172
